type,L1,L2,L3,L4,manufacturer_group,tax_type
車両,自転車,自転車（非電動）,ロードバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,クロスバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,グラベル／シクロクロス,,bicycle_vehicle,
車両,自転車,自転車（非電動）,マウンテンバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,折り畳み自転車,,bicycle_vehicle,
車両,自転車,自転車（非電動）,BMX,,bicycle_vehicle,
車両,自転車,自転車（非電動）,ピストバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,ランドナー,,bicycle_vehicle,
車両,自転車,自転車（非電動）,ファットバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,ビーチクルーザー,,bicycle_vehicle,
車両,自転車,自転車（非電動）,シティクロス,,bicycle_vehicle,
車両,自転車,自転車（非電動）,シティサイクル,,bicycle_vehicle,
車両,自転車,自転車（非電動）,ホームサイクル,,bicycle_vehicle,
車両,自転車,自転車（非電動）,チャイルドケア,,bicycle_vehicle,
車両,自転車,自転車（非電動）,ミニベロ,,bicycle_vehicle,
車両,自転車,自転車（非電動）,カーゴバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,子供車,,bicycle_vehicle,
車両,自転車,自転車（非電動）,キックバイク,,bicycle_vehicle,
車両,自転車,自転車（非電動）,三輪車,,bicycle_vehicle,
車両,自転車,自転車（非電動）,一輪車,,bicycle_vehicle,
車両,自転車,自転車（非電動）,玩具,,bicycle_vehicle,
車両,自転車,自転車（非電動）,キックボード,,bicycle_vehicle,
車両,自転車,自転車（非電動）,電動キックボード,,bicycle_vehicle,
車両,自転車,自転車（非電動）,タンデム自転車,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ロードバイク,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,クロスバイク,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,グラベル／シクロクロス,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,マウンテンバイク,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,折り畳み自転車,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,BMX,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ピストバイク,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ランドナー,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ファットバイク,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ビーチクルーザー,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,シティクロス,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,シティサイクル,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ホームサイクル,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,チャイルドケア,,bicycle_vehicle,
車両,自転車,電動アシスト自転車,ミニベロ,,bicycle_vehicle,
